label,count
LG Electronics Inc.,148
Nokia Technologies Oy,120
Qualcomm Incorporated,116
Nokia Corporation,113
"Samsung Electronics Co, LTD",104
ZTE Corporation,90
"Huawei Technologies Co., Ltd.",85
Telefonaktiebolaget LM Ericsson,79
NEC Corporation,67
"NTT DOCOMO, INC.",61
Orange,57
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",57
ALCATEL-LUCENT,55
Alcatel Lucent,54
Nokia Networks Oy,42
Siemens AG,40
Koninklijke KPN N.V.,35
BlackBerry UK Limited,31
Nokia Solutions and Networks Oy,29
Sharp Corporation,23
Research in Motion Limited,22
Intel Corporation,22
Apple Inc.,22
"Alcatel Lucent and Alcatel-Lucent Shanghai Bell Co., Ltd.",20
"InterDigital Holdings, Inc.",19
Nokia Solutions and Networks GmbH & Co. KG,18
FG Innovation Company Limited,18
Panasonic Holdings Corporation,17
Fujitsu Limited.,16
ASUSTeK Computer Inc.,13
China Mobile Communications Corporation,12
QUALCOMM Inc,11
Sony Corporation,10
Electronics and Telecommunications Research Institute,10
China Academy of Telecommunications Technology (CATT),10
Alcatel-Lucent USA Inc.,10
Sony Group Corporation,9
Nortel Networks Ltd,9
Motorola Mobility Inc.,9
CATT(Datang),9
SHARP Corporation,8
MOTOROLA Inc,8
Lenovo (Beijing) Ltd,8
HTC Corporation,8
Deutsche Telekom AG,8
"Beijing Xiaomi Mobile Software Co., Ltd",8
Acer Incorporated,8
WILUS INSTITUTE OF STANDARDS AND TECHNOLOGY INC.,7
MediaTek Incorporated,7
InterDigital Technology Corp.,7
Huawei Technologies Co. Ltd.,7
"Convida Wireless, LLC",7
Texas Instruments Inc.,6
Mitsubishi Electric Corp,6
Kyocera Corporation,6
"InterDigital Patent Holdings, Inc.",6
InterDigital Patent Holdings Inc.,6
"Honor Device Co., Ltd.",6
Google Ireland Limited,6
"Unwired Planet, LLC",5
"SK Telecom Co., LTD.",5
Koninklijke Philips N.V.,5
InterDigital Technology Corporation,5
Innovative Sonic Corporation,5
Sun Patent Trust,4
"Rakuten Mobile, Inc",4
"Pantech Co., Ltd",4
"Optis Wireless Technology, LLC",4
IPR Licensing Inc.,4
Core Wireless Licensing S.a.r.l,4
"vivo Mobile Communication Co., Ltd",3
Zhigu Holdings Limited,3
VoiceAge Corporation,3
Unwired Planet International Ltd,3
Telecom Italia S.p.A.,3
TOYOTA MOTOR CORPORATION,3
Spectacular,3
"Optis Cellular Technology, LLC",3
Lenovo,3
KT Corporation,3
Industrial Technology Research Institute,3
"IPR Licensing, Inc.",3
Godo Kaisha IP Bridge 1,3
General Dynamics UK Limited,3
Fraunhofer Gesellschaft zur Foerderung der angewandten Forschung e.V.,3
"Alcatel-Lucent Shanghai Bell Co., Ltd",3
"Vringo Infrastructure, Inc",2
Toshiba Corporation,2
Telit Communications S.p.A.,2
THALES,2
Sisvel International SA,2
Siemens Aktiengesellschaft,2
Panasonic Corporation,2
NEC Corporation (ARIB),2
Marvell Switzerland S.A.R.L,2
KDDI Corporation (TTC),2
KDDI Corporation,2
JRD COMMUNICATION (SHENZHEN) LTD,2
Innovative Sonic Ltd.,2
Hewlett-Packard Enterprise,2
Conversant Wireless Licensing SARL,2
BlackBerry LTD,2
"Beijing Xiaomi Mobile Software Co., Ltd.",2
BT Group Plc,2
BENQ Corporation,2
3G Licensing SA,2
u-blox AG,1
Xiaomi H.K. Limited,1
"Wi-Fi One, LLC",1
Vodafone Group Services Limited (VGSL),1
"VirnetX, Inc.",1
Via Licensing Corporation,1
"VID SCALE, INC.",1
Ukpik Mobile Technologies LLC,1
TruePosition Inc.,1
Tantivy Communications Inc.,1
THALES SA,1
"Sun Microsystems, Inc.",1
Sisvel International S.A.,1
Sierra Wireless Inc,1
Satelio IoT Services,1
SHENZEN TCL NEW TECHNOLOGY CO. LTD,1
Renesas Mobile Corporation,1
PicoChip Limited,1
"Ofinno, LLC",1
Nokia of America Corporation,1
Nippon Telegraph and Telephone Corporation (NTT),1
"NTT, Inc.",1
NTT DOCOMO INC.,1
Motorola Mobility LLC,1
Mitsubishi Electric R&D Centre Europe,1
Microsoft Corp.,1
Koninklijke Philips Electronics N.V.,1
"IoT Holdings, Inc.",1
Innovative Sonic Limited,1
Infineon Technologies,1
IPCom GmbH & Co.KG,1
"IDPA Holdings, Inc.",1
Hyundai Motor Company,1
"Huawei Technologies Co., Ltd",1
HMD Global Oy,1
Gemplus SA,1
Freescale Semiconductor Inc.,1
"Fraunhofer Institute for Telecommunications, Heinrich Hertz Institute",1
Fraunhofer Institut für Integrierte Schaltungen IIS,1
Dolby Laboratories Licensing Corporation,1
Dolby International AB,1
DENSO CORPORATION,1
Coding Technologies AB,1
Bräu Verwaltungsgesellschaft mit beschränkter Haftung,1
BROADCOM CORPORATION,1
Apple (UK) Limited,1
Alcatel-Lucent Deutschland AG,1
Alcatel Lucent Worldwide except Alcatel Lucent and Alcatel Lucent Shanghai Bell Co. Ltd in China,1
Alcatel,1
"AT&T Intellectual Property II, LLC",1
AT&T,1
,1
